Тип,Тип-секції,Кікер (укр),Кікер (eng),Заголовок (укр),Заголовок (eng),Текст (укр),Текст (eng),Матеріали (укр),Матеріали (eng),Зображення,Підпис (укр),Підпис (eng),Лінк-текст (укр),Лінк-текст (eng),Лінк-URL,Тип-лінка,Сітка,Ціна
section,header,,,,,,,,,,,,,,,,,
work,,,,,,,,,,assets/img/header1.jpg,,,,,,,,
work,,,,,,,,,,assets/img/header2.jpg,,,,,,,,
work,,,,,,,,,,assets/img/hero.jpg,,,,,,,,
section,statement,,,Artist Statement,,"Уся моя практика і життя зводяться до одного слова: тварини. В добу Антропоцентризму ми сфокусовані лише на власному існуванні, сприймаючи все навколо як фон, що призводить до загибелі природи. Своїм мистецтвом я розповідаю про власний досвід бачення цього світу, звертаючи увагу на наш взаємозв’язок з іншими видами, на їхнє життя та вразливе становище.

Основні теми мого дослідження — це зникнення видів, байдужість до їхнього болю й крихкість життя, а також історія нашого співіснування. Війна в Україні додала моїй практиці ще один пласт: я досліджую тему екоциду, впливу воєнних дій на екосистеми, руйнування середовищ проживання та болісні історії тих, хто виживає в цих реаліях.

Тема тварин з’явилася з власного досвіду взаємодії з ними і стала великою любов’ю, але за цим словом ховається також величезна кількість болю, співчуття та обурення. Людська емпатія до інших видів формується через проживання спільних історій і здатність розуміти їхню інакшість. Наше сприйняття часто не відповідає їхньому способу життя, і ця невідповідність призвела людину до знецінення того, що нам незрозуміло. Тварини та природа є найменш захищеними — тими, на чий біль часто закривають очі, зводячи їхнє життя до ресурсу. Але людина часто чинить шкоду через незнання, тому я працюю в цій темі, щоб розповісти їхні історії. Прагну донести, що вони заслуговують на повагу, турботу та емпатію; заслуговують на те, щоб про них пам’ятали й переймалися їхньою долею.

Я працюю з живописом, графікою та інсталяцією, поєднуючи їх із текстилем та відтворюючи реалістичні образи з експресивними фактурами. Використовую образ людини, щоб передати — на власному «тілі» — біль, любов та свободу (або її відсутність), які переживають інші істоти. Саме ці медіа дозволяють мені ділитися своїми почуттями та розкривати питання, які часто лишаються поза увагою, але здатні змінити наше сприйняття навколишнього світу.","My whole practice and life come down to one word: animals. In the age of anthropocentrism we are focused solely on our own existence, perceiving everything around us as a backdrop — and this leads to the destruction of nature. Through my art I speak about my own experience of seeing this world, drawing attention to our interconnection with other species, to their lives and their vulnerable position.

The core themes of my research are the extinction of species, indifference to their pain and the fragility of life, as well as the history of our coexistence. The war in Ukraine has added another layer to my practice: I explore ecocide, the impact of military action on ecosystems, the destruction of habitats and the painful stories of those who survive in these realities.

The theme of animals grew out of my own experience of interacting with them and became a great love — yet behind that word also lies an enormous amount of pain, compassion and indignation. Human empathy towards other species is formed by living through shared stories and by the ability to understand their otherness. Our perception often does not match their way of life, and this mismatch has led humans to devalue what we do not understand. Animals and nature are the least protected — those whose pain is so often ignored, their lives reduced to a resource. Yet people often cause harm out of ignorance, which is why I work with this theme: to tell their stories. I want to convey that they deserve respect, care and empathy; that they deserve to be remembered and cared about.

I work with painting, drawing and installation, combining them with textiles and rendering realistic images with expressive textures. I use the human figure to convey — on my own “body” — the pain, love and freedom (or its absence) experienced by other beings. These media allow me to share my feelings and raise questions that often remain unnoticed, yet are capable of changing how we perceive the world around us.",,,,,,,,,,,
section,gallery,,,Роботи,Artworks,,,,,,,,,,,,grid-2,
work,,,,"«Перегузня», 2025","“Marbled Polecat”, 2025",,,"олія на полотні, нитка · 70×80 см","oil on canvas, thread · 70×80 cm",assets/img/mizh-perehuznia.jpg,,,,,,,,0
work,,,,"«Аксолотль», 2025","“Axolotl”, 2025",,,"олія на полотні, нитка · 70×80 см","oil on canvas, thread · 70×80 cm",assets/img/mizh-aksolotl.jpg,,,,,,,,0
work,,,,"«Лелека», 2025","“Stork”, 2025",,,олія на полотні · 75×150,oil on canvas · 75×150,assets/img/leleka.jpg,,,,,,,,0
work,,,,"«Нікуди тікати», 2025","“Nowhere to Run”, 2025",,,олія на полотні · 75×150,oil on canvas · 75×150,assets/img/nikudy-tikaty.jpg,,,,,,,,0
work,,,,"«У траві живе вогонь», 2025","“Fire Lives in the Grass”, 2025",,,олія на полотні · 65×150,oil on canvas · 65×150,assets/img/u-travi-zhyve-vohon.jpg,,,,,,,,0
work,,,,"«Стайні — це що, військовий об’єкт?», 2024","“Stables — a military object, then?”, 2024",,,олівець на папері · 20×28 см,pencil on paper · 20×28 cm,assets/img/stayni.jpg,,,,,,,,0
work,,,,"«Морські коники», 2026","“Seahorses”, 2026",,,"олівець, папір, калька · 13×29","pencil, paper, tracing paper · 13×29",assets/img/morski-konyky.jpg,,,,,,,,0
work,,,,"«Де закінчується незламність і починається безвідповідальність?», 2026","“Where does resilience end and irresponsibility begin?”, 2026",,,"олівець, папір · 21×29","pencil, paper · 21×29",assets/img/nezlamnist.jpg,,,,,,,,0
work,,,,"«Ліс згорів, доля тварин невідома», 2025","“The forest burned down, the fate of the animals is unknown”, 2025",,,"олівець, папір · 21×29","pencil, paper · 21×29",assets/img/lis-zghoriv.jpg,,,,,,,,0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
work,,,,"«Лебідь», 2023","“Swan”, 2023",,,"олія на полотні, вугільний олівець · 120×80 см","oil on canvas, charcoal pencil · 120×80 cm",assets/img/lebid.jpg,,,,,,,,0
work,,,,"«Кажан», 2023","“Bat”, 2023",,,"олія на полотні, вугільний олівець · 80×120 см","oil on canvas, charcoal pencil · 80×120 cm",assets/img/kazhan.jpg,,,,,,,,0
work,,,,«Звірі»,“Beasts”,,,"олія на полотні, вугільний олівець · 125×85 см","oil on canvas, charcoal pencil · 125×85 cm",assets/img/zviri.jpg,,,,,,,,0
section,split,Мультидисциплінарна перформативна вистава,Multidisciplinary performative piece,«Природа співчуття»,“The Nature of Compassion”,"Проєкт є глобальним соціальним дослідженням видової дискримінації. Центральною темою проєкту є сіра зона співчуття, куди потрапляють свійські тварини, чия суб’єктність стирається статистикою, пакуванням та відсутністю імен.

Переходячи до питання формування співчуття та емпатії до інших видів через проживання спільних досвідів і здатність розуміти їхню інакшість. Адже відсутність взаємодії створює дистанцію, яка дозволяє нам ігнорувати складність чужого життя. Тварина залишається для нас лише абстракцією або проєкцією власних уявлень.

Розповідь приводить до особистої історії про те, як взаємодія сформувала погляд на інших істот та досвід любові, за яким також приходить глибокий шар болю, співчуття та обурення. Це процес, що формує відчуття спорідненості з навколишнім світом, без якого неможливо осягнути життя інших видів.

Спільний досвід розмиває ці кордони, дозволяючи нам відчути життя тварин рівноцінним людському. Він стає моментом, де кожна людина обирає свою роль у системі співіснування.","The project is a broad social study of species discrimination. At its centre is the grey zone of compassion into which farmed animals fall — beings whose subjectivity is erased by statistics, packaging and the absence of names.

It turns to how compassion and empathy towards other species are formed: through living shared experiences and the ability to understand their otherness. The absence of interaction creates a distance that allows us to ignore the complexity of another’s life. The animal remains a mere abstraction, or a projection of our own assumptions.

The narrative leads to a personal story of how interaction shaped a view of other beings and an experience of love — one that is followed by a deep layer of pain, compassion and indignation. It is a process that creates a sense of kinship with the surrounding world, without which the lives of other species cannot be grasped.

Shared experience blurs these boundaries, letting us feel animal life as equal in value to human life. It becomes the moment when each person chooses their role in the system of coexistence.",,,assets/img/performance.jpg,,,Відеозапис роботи ↗,Video documentation ↗,https://drive.google.com/file/d/1e1mZJLeo_56GDrpwHbdxY4QUyh7T0z08/view?usp=sharing,video,,
section,split-reverse,Мультимедійна інсталяція,Multimedia installation,«Пам’яті зраненої землі. Пам’яті зниклим слідам»,“In Memory of the Wounded Land. In Memory of Vanished Traces”,"Робота є візуальною документацією життя природи в умовах війни, де ландшафт трансформується з поняття дому у місце екоциду. Це спроба зафіксувати стан зраненої землі та зникнення тварин, щоб зберегти пам’ять про їх життя у цій реальності.

На тлі загальнолюдської катастрофи проблема нищення екосистем часто залишається поза уваги. Головний фокус роботи спрямований на те, що переживає земля та види тварин, які жили у цих екосистемах.

Дерева, що стоять непорушно десятиліттями, стають мовчазними свідками окупації та руйнувань. У їхніх стовбурах залишаються уламки металу, у корінні — сліди важкої техніки, у кронах — опіки від вибухових хвиль. Земля ховає у собі сліди зниклих тварин, заміняючи їх слідами важкої техніки та окопами; річки наповнюються токсинами, що витісняють риб та птахів зі своїх звичних місць існування, але екосистема, попри все, намагається загоїти ці рани та відновити власну цілісність.

Мета роботи — оприявнити невидиму ціну війни, яку платить довкілля. Це заклик до збереження пам’яті про екологічну трагедію та визнання природи як суб’єкта, що переживає біль і втрату, має право на життя та безпеку так само, як і людина.","The work is a visual documentation of nature’s life in wartime, where the landscape is transformed from a notion of home into a site of ecocide. It is an attempt to record the state of the wounded land and the disappearance of animals, to preserve the memory of their lives in this reality.

Against the background of a human catastrophe, the destruction of ecosystems often remains overlooked. The work focuses on what the land endures, and on the animal species that lived in these ecosystems.

Trees that have stood unmoved for decades become silent witnesses of occupation and destruction. Fragments of metal remain in their trunks, traces of heavy machinery in their roots, burns from blast waves in their crowns. The earth conceals the traces of vanished animals, replacing them with the tracks of heavy vehicles and trenches; rivers fill with toxins that drive fish and birds from their habitats — and yet the ecosystem, despite everything, tries to heal these wounds and restore its own wholeness.

The aim of the work is to make visible the invisible price of war paid by the environment. It is a call to preserve the memory of this ecological tragedy and to recognise nature as a subject that experiences pain and loss, and has the same right to life and safety as a human being.",,,assets/img/installation.jpg,"2026 · олія на папері, туш на тканині, нитка · 150×70 см","2026 · oil on paper, ink on fabric, thread · 150×70 cm",,,,,,
section,gallery,,,Проєкт «(не)забуті історії тварин»,Project “(un)forgotten stories of animals”,"Це перша частина щоденника, що документує життя тварин під час війни. В ньому зберігаються історії, які я знаходжу у новинах, дописах, розповідях та замальовую, перетворюючи у пам’ять та архів.

Життя тварин під час війни стає ще більш крихким і невидимим. Їх часто ігнорують, створюючи певну ієрархію страждань, де ми перестаємо помічати їх біль, що призводить до найстрашнішого — знецінення живого. Збереження цих історій є актом визнання важливості їх життя та болю.

Проєкт пропонує не просто спостерігати за руйнуванням, а дивитись на них як на збереження свідчень про тих, хто проходить через пекло разом із нами. Документування приводить до усвідомлення: ми не маємо права на байдужість, якщо хочемо, щоб життя як таке мало значення. Тому зберігати такі сторінки в пам’яті є кроком до визнання їх права на життя та безпеку, визнання їх суб’єктності.

Я веду цей щоденник, щоб вберегти їх життя від забутих втрат, щоб недопустити нормалізацію, щоб показати, що їх життя має значення.","This is the first part of a diary documenting the lives of animals during the war. It gathers the stories I find in the news, in posts and in personal accounts, and sketch — turning them into memory and archive.

In wartime, animal lives become even more fragile and invisible. They are often ignored, and a certain hierarchy of suffering emerges in which we stop noticing their pain — leading to the most frightening thing of all: the devaluation of the living. Preserving these stories is an act of recognising the importance of their lives and their pain.

The project proposes not merely to observe destruction, but to see these pages as preserved testimony of those who go through this hell together with us. Documenting leads to a realisation: we have no right to indifference if we want life as such to matter. Keeping these pages in memory is a step towards recognising their right to life and safety — recognising their subjectivity.

I keep this diary to protect their lives from becoming forgotten losses, to prevent normalisation, to show that their lives matter.",,,,"Артбук «(не)забуті історії тварин», 2026 · друк на папері та кальці · 14,8×14,8","Artbook “(un)forgotten stories of animals”, 2026 · print on paper and tracing paper · 14.8×14.8",Електронна версія щоденника ↗,Digital version of the diary ↗,https://drive.google.com/file/d/1DdH2s_T4d8zwFg7UMD0dLHuFDxRL68NY/view?usp=drive_link,pdf,grid-4,
work,,,,,,,,,,assets/img/artbook-stand.jpg,,,,,,,,
work,,,,,,,,,,assets/img/artbook-1.jpg,,,,,,,,
work,,,,,,,,,,assets/img/artbook-2.jpg,,,,,,,,
work,,,,,,,,,,assets/img/artbook-3.jpg,,,,,,,,
work,,,,,,,,,,assets/img/artbook-4.jpg,,,,,,,,
group,,,,Ескізи до Артбуку,Sketches for the artbook,,,,,,,,,,,,grid-sketches,
work,,,,,,,,,,assets/img/sketch-02.jpg,,,,,,,,
work,,,,,,,,,,assets/img/sketch-03.jpg,,,,,,,,
work,,,,,,,,,,assets/img/sketch-06.jpg,,,,,,,,
work,,,,,,,,,,assets/img/sketch-08.jpg,,,,,,,,
work,,,,,,,,,,assets/img/sketch-10.jpg,,,,,,,,
work,,,,,,,,,,assets/img/sketch-05.jpg,,,,,,,,
work,,,,,,,,,,assets/img/sketch-04.jpg,,,,,,,,
work,,,,,,,,,,assets/img/sketch-01.jpg,,,,,,,,
work,,,,,,,,,,assets/img/sketch-07.jpg,,,,,,,,
work,,,,,,,,,,assets/img/sketch-09.jpg,,,,,,,,
section,gallery,,,Серія «Між іншими»,Series “Among Others”,"Люди та тварини є частинами однієї екосистеми, ми взаємозалежні, і наша відповідальність стоїть у тому, щоб розуміти ці зв’язки. Кожне втручання людини в життя інших істот має наслідки і для самої людини, і для всього біому; зникнення одного виду порушує систему зв’язку, яка тисячоліттями будувалась, але руйнується з такою швидкістю, що адаптація до змін не встигає трапитися, і це приводить до критичних наслідків. Тому серія має на меті привернути увагу до питань співіснування, зв’язку, відповідальності і впливу.","Humans and animals are parts of one ecosystem; we are interdependent, and our responsibility lies in understanding these connections. Every human intervention in the lives of other beings has consequences both for humans themselves and for the whole biome; the disappearance of a single species disrupts a system of connections built over millennia, yet destroyed at such speed that adaptation cannot keep up — leading to critical consequences. The series aims to draw attention to questions of coexistence, connection, responsibility and impact.",,,,,,,,,,grid-2,
work,,,,"«Аксолотль», 2025","“Axolotl”, 2025",,,"олія на полотні, нитка · 70×80 см","oil on canvas, thread · 70×80 cm",assets/img/mizh-aksolotl.jpg,,,,,,,,
work,,,,"«Перегузня», 2025","“Marbled Polecat”, 2025",,,"олія на полотні, нитка · 70×80 см","oil on canvas, thread · 70×80 cm",assets/img/mizh-perehuznia.jpg,,,,,,,,
section,gallery,,,"Серія «Історії тих, хто не говорить»",Series “Stories of Those Who Do Not Speak”,"Ця серія створена як документація випадків екоциду і історій тварин, що постраждали від війни через російську агресію в Україні. Тварини часто залишаються забутими жертвами, тому я фіксую їх історії, щоб зберегти свідчення і пам’ять про їх життя. Цей проєкт досліджує війну, довкілля та важливість кожного життя.","This series was created as documentation of ecocide and of the stories of animals harmed by the war of russian aggression against Ukraine. Animals often remain the forgotten victims, so I record their stories to preserve testimony and the memory of their lives. The project explores war, the environment and the value of every life.",,,,,,,,,,grid-3,
work,,,,"«Лелека», 2025","“Stork”, 2025",,,олія на полотні · 75×150,oil on canvas · 75×150,assets/img/leleka.jpg,,,,,,,,
work,,,,"«Нікуди тікати», 2025","“Nowhere to Run”, 2025",,,олія на полотні · 75×150,oil on canvas · 75×150,assets/img/nikudy-tikaty.jpg,,,,,,,,
work,,,,"«У траві живе вогонь», 2025","“Fire Lives in the Grass”, 2025",,,олія на полотні · 65×150,oil on canvas · 65×150,assets/img/u-travi-zhyve-vohon.jpg,,,,,,,,
section,gallery,,,Графіка,Works on paper,,,,,,,,,,,,grid-2,
work,,,,"«Стайні — це що, військовий об’єкт?», 2024","“Stables — a military object, then?”, 2024",,,олівець на папері · 20×28 см,pencil on paper · 20×28 cm,assets/img/stayni.jpg,,,,,,,,
work,,,,"«Морські коники», 2026","“Seahorses”, 2026",,,"олівець, папір, калька · 13×29","pencil, paper, tracing paper · 13×29",assets/img/morski-konyky.jpg,,,,,,,,
work,,,,"«Де закінчується незламність і починається безвідповідальність?», 2026","“Where does resilience end and irresponsibility begin?”, 2026",,,"олівець, папір · 21×29","pencil, paper · 21×29",assets/img/nezlamnist.jpg,,,,,,,,
work,,,,"«Ліс згорів, доля тварин невідома», 2025","“The forest burned down, the fate of the animals is unknown”, 2025",,,"олівець, папір · 21×29","pencil, paper · 21×29",assets/img/lis-zghoriv.jpg,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
section,gallery,,,Серія «Стежки»,Series “Paths”,"Серія створена у селі Сокілець, де я прожила певний час і навчалася осмислювати себе через природу та тварин. Зустрічаючи їх, я шукала мінімальні форми взаємодії — поглядом або рухом — щоб встановити контакт і дослідити власні відчуття.","The series was created in the village of Sokilets, where I lived for a time and learned to make sense of myself through nature and animals. Meeting them, I looked for minimal forms of interaction — a glance or a movement — to establish contact and explore my own sensations.",,,,,,,,,,grid-1,
work,,,,"«Лебідь», 2023","“Swan”, 2023",,,"олія на полотні, вугільний олівець · 120×80 см","oil on canvas, charcoal pencil · 120×80 cm",assets/img/lebid.jpg,,,,,,,,
group,,,,,,,,,,,,,,,,,grid-2,
work,,,,"«Кажан», 2023","“Bat”, 2023",,,"олія на полотні, вугільний олівець · 80×120 см","oil on canvas, charcoal pencil · 80×120 cm",assets/img/kazhan.jpg,,,,,,,,
work,,,,«Звірі»,“Beasts”,,,"олія на полотні, вугільний олівець · 125×85 см","oil on canvas, charcoal pencil · 125×85 cm",assets/img/zviri.jpg,,,,,,,,
